;regions;Жилищные условия населения: Удельный вес расходов домашних хозяйств на оплату жилищно-коммунальных услуг: В процентах от общей суммы потребительских расходов, по данным Выборочного обследования бюджетов домашних хозяйств;Жилищные условия населения: Жилищный фонд: Всего, общая площадь жилых помещений, миллионов квадратных метров;Денежные доходы населения: Структура денежных доходов населения, в процентах от общего объема денежных доходов;Жилищные условия населения: Предоставление гражданам социальной поддержки (льгот) по оплате жилого помещения и коммунальных услуг: Объем средств, предусмотренных на предоставление гражданам социальной поддержки по оплате жилого помещения и коммунальных услуг, миллионов рублей;Денежные доходы населения: Медианный среднедушевой денежный доход населения, в месяц, рублей;Денежные доходы населения: Величина прожиточного минимума пенсионера в целях установления социальной доплаты к пенсии, рублей в месяц;Жилищные условия населения: Предоставление гражданам социальной поддержки (льгот) по оплате жилого помещения и коммунальных услуг: Численность граждан, пользующихся социальной поддержкой по оплате жилого помещения и коммунальных услуг, тысяч человек;Денежные доходы населения: Структура использования денежных доходов населения , в процентах от общего объема денежных доходов;Денежные доходы населения: Среднедушевые денежные доходы населения, в месяц, рублей;Денежные доходы населения: Численность занятых, приходящихся на одного пенсионера, в среднем за год, человек;Жилищные условия населения: Общая площадь жилых помещений, приходящаяся в среднем на одного жителя, на конец года, квадратных метров;Жилищные условия населения: Предоставление гражданам субсидий на оплату жилого помещения и коммунальных услуг: Общая сумма начисленных субсидий на оплату жилого помещения и коммунальных услуг, миллионов рублей;Денежные доходы населения: Численность пенсионеров: Всего, тысяч человек;;Жилищные условия населения: Удельный вес расходов домашних хозяйств на оплату жилищно-коммунальных услуг: В процентах от общей суммы расходов на оплату услуг, по итогам выборочного обследования бюджетов домашних хозяйств;Денежные доходы населения: Число собственных легковых автомобилей на 1000 человек населения, на конец года, штук;Потребление продуктов питания: Потребление мяса и мясопродуктов (включая субпродукты ii категории и жир-сырец) на душу населения, в год, килограммов;Жилищные условия населения: Предоставление гражданам жилых помещений: Число семей, получивших жилые помещения и улучшивших жилищные условия за год, тысяч;Денежные доходы населения: Реальные денежные доходы: Реальный размер назначенных пенсий, в процентах к предыдущему году;Денежные доходы населения: Величина прожиточного минимума, установленная в целом по Российской Федерации и в субъектах Российской Федерации, на год, на душу населения, рублей в месяц;Денежные доходы населения: Реальные денежные доходы: Реальные доходы населения, в процентах к предыдущему году;Денежные доходы населения: Среднемесячная начисленная заработная плата муниципальных служащих органов местного самоуправления: Всего, рублей;Жилищные условия населения: Предоставление гражданам жилых помещений: Удельный вес семей, состоявших на учете в качестве нуждающихся в жилых помещениях, в общем числе семей, в процентах;Жилищные условия населения: Предоставление гражданам субсидий на оплату жилого помещения и коммунальных услуг: Среднемесячный размер субсидий на семью, на конец отчетного периода, рублей;Денежные доходы населения: Реальные денежные доходы: Реальная начисленная заработная плата работников организаций, в процентах к предыдущему году;Денежные доходы населения: Среднемесячная начисленная заработная плата муниципальных служащих органов местного самоуправления: В местных администрациях (исполнительно-распорядительных органах муниципальных образований), рублей;Жилищные условия населения: Предоставление гражданам жилых помещений: Число семей, состоявших на учете в качестве нуждающихся в жилых помещениях, на конец года, тысяч;Жилищные условия населения: Жилищный фонд: Городской жилищный фонд, общая площадь жилых помещений, миллионов квадратных метров;Денежные доходы населения: Структура социальных выплат, в процентах;Потребление продуктов питания: Потребление молока и молочных продуктов на душу населения, в год, килограммов;Потребление продуктов питания: Потребление яиц на душу населения, в год, штук;Потребление продуктов питания: Потребление растительного масла на душу населения, в год, килограммов;Денежные доходы населения: Среднемесячная начисленная заработная плата муниципальных служащих органов местного самоуправления: В представительных органах муниципальных образований, рублей;Потребление продуктов питания: Потребление хлебных продуктов на душу населения, в год, килограммов;Денежные доходы населения: Величина прожиточного минимума, установленная в целом по Российской Федерации и в субъектах Российской Федерации в iv квартале 2001-2020 гг., на душу населения, рублей в месяц;Жилищные условия населения: Предоставление гражданам социальной поддержки (льгот) по оплате жилого помещения и коммунальных услуг: Среднемесячный размер социальной поддержки на одного пользователя, рублей;Денежные доходы населения: Средний размер назначенных пенсий, на 1 января, рублей;Денежные доходы населения: Численность населения с денежными доходами ниже границы бедности/величины прожиточного минимума , в процентах от общей численности населения субъекта;Денежные доходы населения: Структура потребительских расходов домашних хозяйств*), по итогам выборочного обследования бюджетов домашних хозяйств, в процентах;Потребление продуктов питания: Потребление сахара на душу населения, в год, килограммов;Жилищные условия населения: Жилищный фонд: Сельский жилищный фонд, общая площадь жилых помещений, миллионов квадратных метров;Жилищные условия населения: Предоставление гражданам субсидий на оплату жилого помещения и коммунальных услуг: Число семей, получавших субсидии на оплату жилого помещения и коммунальных услуг, по состоянию на конец отчетного периода, тысяч;Денежные доходы населения: Среднемесячная номинальная начисленная заработная плата работников организаций, рублей;Жилищные условия населения: Предоставление гражданам жилых помещений: Удельный вес семей, получивших жилые помещения, в числе семей, состоявших на учете в качестве нуждающихся в жилых помещениях, в процентах;Денежные доходы населения: Медианная заработная плата работников организаций, без субъектов малого предпринимательства, по данным выборочных обследований, за апрель, рублей;Денежные доходы населения: Потребительские расходы в среднем на душу населения, в месяц, рублей;Денежные доходы населения: Граница бедности, рублей
0;Кемеровская область;8.2;69.0;0.7;5327.0797;26779.8;10893.0;735.481;2.6;32627.0;1.43;26.9805;1084.6988;816.0;;28.9723;327.7286;72.0;4.285;97.3;12667.0;99.5;48789.0;2.8149;1944.0;103.5791;48796.0;33.633;59.0;3.5;203.0;288.0;10.3;46301.0;109.0;-99999999.0;603.5823;16907.0;11.3;28.5;32.0;11.0;37.936;57652.6;11.6081;-99999999.0;24686.0;12638.0
1;Ненецкий автономный округ;11.5;1.0;0.5;138.3286;71497.5;22140.0;9.591;31.5;104109.0;2.27;28.0497;39.901;14.0;;32.9157;229.0071;;0.095;102.2;25419.0;99.4;133063.0;31.3784;3335.0;99.0325;133743.0;5.377;1.0;0.8;;;;135199.0;;-99999999.0;1201.8959;25517.0;9.0;34.8;;0.3;0.616;106949.0;1.7019;-99999999.0;41089.0;25145.0
2;Приморский край;8.8;46.0;2.2;3600.4584;36456.6;14245.0;328.437;-7.4;45834.0;1.82;25.4761;758.2633;514.0;;34.0262;491.8987;91.0;2.199;99.6;16564.0;97.6;76483.0;2.973;1494.0;101.5;76131.0;26.238;36.0;2.4;171.0;290.0;13.1;82999.0;108.0;-99999999.0;913.5335;17207.0;11.4;25.8;42.0;10.0;29.941;63588.6;8.1168;-99999999.0;39421.0;16474.0
3;Ростовская область;10.8;116.0;17.6;7832.4229;31398.9;11253.0;742.585;-2.5;40016.0;1.66;27.7344;1611.4756;1227.0;;37.0761;334.6933;75.0;1.944;98.5;13085.0;100.7;53277.0;1.2028;1442.0;100.2547;52999.0;22.017;81.0;2.3;263.0;340.0;15.7;60646.0;105.0;-99999999.0;878.9592;15418.0;10.5;29.1;43.0;35.0;84.316;44767.4;7.9957;-99999999.0;34963.0;12898.0
4;Республика Крым;9.4;40.0;14.8;1595.893;24681.1;11612.0;340.221;0.5;28699.0;1.5;20.9998;7.269;559.0;;42.9011;223.2293;56.0;0.538;97.6;13501.0;96.2;40112.0;3.8772;541.0;96.0972;39870.0;32.235;19.0;0.7;152.0;237.0;11.6;48180.0;102.0;-99999999.0;390.8962;14912.0;14.5;22.0;38.0;21.0;0.545;41986.1;1.6244;-99999999.0;24649.0;13341.0
5;Иркутская область;7.7;62.0;0.7;4102.985;28570.9;12689.0;518.264;-0.3;35040.0;1.53;26.4487;1120.4353;722.0;;31.9211;270.3407;73.0;1.804;97.9;14754.0;99.3;75229.0;4.6539;1633.0;101.206;74792.0;49.996;50.0;1.9;201.0;247.0;13.0;85283.0;105.0;-99999999.0;659.7321;17363.0;14.8;24.2;33.0;12.0;51.99;64634.9;3.5501;-99999999.0;26644.0;14581.0
6;Архангельская область;8.9;34.0;0.9;3891.0836;35748.2;-99999999.0;348.697;2.8;48356.0;1.27;33.3898;353.2882;405.0;;32.7229;336.7907;66.0;0.847;98.0;-99999999.0;95.5;59635.0;8.8792;1500.0;96.8754;58962.0;42.027;23.0;1.3;206.0;248.0;13.0;82206.0;106.0;-99999999.0;929.9104;21239.0;11.8;27.3;40.0;11.0;15.414;67834.8;1.8672;-99999999.0;38562.0;-99999999.0
7;Республика Ингушетия;7.2;8.0;27.1;603.4526;17329.0;11253.0;137.355;32.7;20781.0;1.77;16.1269;140.0958;115.0;;50.9986;181.7222;57.0;0.063;96.0;13085.0;95.8;28102.0;10.9929;1501.0;88.1632;27916.0;9.85;5.0;0.6;226.0;188.0;10.3;29446.0;121.0;-99999999.0;366.1149;13968.0;30.5;14.1;43.0;3.0;6.5;32800.8;0.5497;-99999999.0;11361.0;13014.0
8;Костромская область;7.7;19.0;3.8;1908.0085;27139.8;11135.0;357.692;-3.3;34450.0;1.4;32.9466;275.9525;200.0;;34.6372;328.9596;67.0;0.298;98.5;12860.0;96.5;37612.0;5.2632;1545.0;97.3147;37412.0;14.023;13.0;1.3;216.0;349.0;10.3;47413.0;103.0;-99999999.0;444.5185;16137.0;11.0;22.1;29.0;6.0;12.388;40241.5;2.0877;-99999999.0;29753.0;13362.0
9;Оренбургская область;9.8;56.0;2.3;2990.8647;23942.0;10415.0;496.776;-3.8;30334.0;1.43;30.1451;477.3041;591.0;;41.807;427.6957;70.0;1.5;98.1;12110.0;95.4;44921.0;3.8554;1065.0;99.0099;44550.0;32.052;34.0;1.6;300.0;307.0;19.5;62079.0;119.0;-99999999.0;501.7125;15607.0;13.1;23.5;35.0;22.0;27.339;43540.3;4.0774;-99999999.0;25403.0;11764.0
10;Нижегородская область;10.5;92.0;9.2;8825.6273;33308.3;11253.0;849.5;3.1;43220.0;1.65;29.9;1177.9766;995.0;;39.6718;427.5945;82.0;1.006;98.8;13085.0;99.6;57790.0;1.846;1615.0;103.0896;57395.0;26.898;67.0;1.6;238.0;285.0;15.3;72101.0;105.0;-99999999.0;865.7669;16754.0;8.0;26.5;39.0;25.0;45.696;48367.9;3.4709;-99999999.0;35053.0;12352.0
11;Московская область;11.8;283.0;26.5;19881.752;48004.7;13951.0;1802.235;6.3;55109.0;1.75;32.9629;2411.3228;1972.0;;33.2791;323.0936;109.0;1.875;96.8;16223.0;97.7;88121.0;0.6904;1621.0;95.4319;88137.0;28.061;268.0;1.9;250.0;379.0;13.3;80932.0;119.0;-99999999.0;919.31;18028.0;5.5;35.5;43.0;16.0;97.896;70704.6;6.3104;-99999999.0;43138.0;16136.0
12;Забайкальский край;7.3;24.0;0.8;1857.023;28379.6;14005.0;198.731;8.4;36183.0;1.67;23.6887;204.46;268.0;;32.3496;318.6475;74.0;1.163;97.4;16286.0;100.6;45521.0;4.7606;1759.0;99.2366;45285.0;19.491;16.0;1.1;258.0;166.0;12.3;50511.0;108.0;-99999999.0;778.7004;15738.0;17.6;22.7;35.0;7.0;6.757;59412.9;5.8601;-99999999.0;27644.0;15746.0
13;Брянская область;8.8;37.0;22.4;1818.6056;28677.8;11475.0;270.532;0.5;35722.0;1.27;32.5225;195.6928;401.0;;38.1755;213.6051;71.0;0.695;96.9;13127.0;96.9;41958.0;2.4124;1171.0;99.7021;41639.0;13.084;25.0;1.0;190.0;250.0;11.3;47264.0;98.0;-99999999.0;560.1942;15705.0;12.0;23.0;32.0;12.0;10.452;40804.1;5.105;-99999999.0;30320.0;13242.0
14;Тамбовская область;10.6;33.0;19.6;2113.3524;27696.7;11224.0;275.71;6.5;34092.0;1.4;34.0336;470.842;332.0;;42.0194;387.2517;84.0;0.748;97.4;12210.0;96.7;32745.0;4.4167;1361.0;99.5492;32501.0;20.458;19.0;1.2;159.0;189.0;16.9;36964.0;155.0;-99999999.0;638.7607;15170.0;10.5;25.1;53.0;14.0;21.039;39345.7;3.4776;-99999999.0;27256.0;12384.0
15;Новгородская область;12.5;20.0;14.1;1710.1427;27659.9;11732.0;165.437;-2.8;33729.0;1.41;35.3631;92.9407;191.0;;45.6169;346.3466;76.0;0.514;99.8;13641.0;100.8;42132.0;3.8977;1703.0;102.8707;41966.0;10.846;13.0;1.3;242.0;236.0;15.0;60019.0;104.0;-99999999.0;861.427;16760.0;11.9;27.3;37.0;8.0;3.386;45247.3;4.463;-99999999.0;29024.0;13348.0
16;Республика Бурятия;10.2;22.0;3.9;1640.9412;26491.8;13048.0;332.205;-0.2;32823.0;1.44;22.5747;812.7189;257.0;;44.6047;271.598;62.0;0.617;96.9;15172.0;99.8;51590.0;8.2311;2859.0;101.7445;51351.0;30.949;13.0;1.1;175.0;204.0;10.0;59248.0;105.0;-99999999.0;411.6287;15737.0;19.0;22.9;26.0;9.0;18.44;53495.3;1.9547;-99999999.0;27957.0;14992.0
17;Белгородская область;9.5;53.0;19.4;3013.97;32811.0;10055.0;370.307;7.2;41022.0;1.56;35.0274;59.1034;495.0;;39.6502;336.2898;98.0;0.871;98.1;11692.0;99.8;55600.0;2.7167;764.0;99.4468;55567.0;18.044;32.0;1.5;269.0;326.0;13.9;57764.0;134.0;-99999999.0;678.2593;16709.0;6.1;24.1;45.0;21.0;3.418;47637.8;4.7947;-99999999.0;32092.0;11591.0
18;Республика Саха (Якутия);11.9;24.0;0.5;3474.1439;43912.2;18076.0;197.272;13.2;57715.0;1.87;24.083;602.3412;272.0;;37.4977;229.2181;87.0;2.232;100.2;21019.0;104.3;85523.0;6.7881;3175.0;103.1161;84645.0;25.511;16.0;1.7;272.0;248.0;9.1;141265.0;133.0;-99999999.0;1467.5777;22125.0;15.5;31.7;37.0;8.0;11.109;96728.3;9.4464;-99999999.0;41009.0;20556.0
19;Камчатский край;13.3;8.0;0.7;1505.8505;53171.8;21692.0;72.477;15.9;70769.0;1.89;28.1824;204.1524;88.0;;46.8757;576.22;78.0;0.951;99.1;25223.0;96.8;105424.0;4.1124;1968.0;98.5346;105549.0;5.669;6.0;0.9;155.0;250.0;12.7;108070.0;100.0;-99999999.0;1731.4119;24857.0;12.8;28.3;32.0;2.0;5.863;103539.9;16.2592;-99999999.0;44431.0;25056.0
20;Республика Марий Эл;10.3;20.0;3.6;1428.1421;21497.5;10535.0;184.037;-0.1;25696.0;1.31;29.4038;279.8061;205.0;;39.0517;255.8287;99.0;0.599;99.6;12250.0;97.1;42406.0;4.0595;1480.0;100.3719;42542.0;11.802;13.0;1.2;254.0;269.0;13.6;34013.0;126.0;-99999999.0;646.6734;15206.0;16.2;26.4;33.0;7.0;12.119;40712.9;4.8082;-99999999.0;19832.0;11777.0
21;Ульяновская область;11.3;38.0;10.5;4342.5419;25288.4;10654.0;415.347;2.7;31008.0;1.41;32.5524;416.1133;400.0;;36.4844;323.978;71.0;0.61;97.8;12388.0;98.5;48173.0;2.3621;956.0;100.1129;47951.0;13.496;28.0;1.8;219.0;259.0;10.6;55918.0;100.0;-99999999.0;871.2679;15605.0;12.8;31.1;43.0;11.0;26.91;41523.1;4.4322;-99999999.0;24548.0;12473.0
