regions;Возрастной состав населения: Население старше трудоспособного возраста, оценка на конец года, в процентах от общей численности населения;Смертность населения в трудоспособном возрасте, число умерших на 100 000 человек соответствующего возраста;Численность беженцев, на конец года, человек;Общие коэффициенты рождаемости, число родившихся на 1000 человек населения;Численность населения, оценка на конец года, тысяч человек;Возрастной состав населения: Население в трудоспособном возрасте, оценка на конец года, в процентах от общей численности населения;Соотношение мужчин и женщин, оценка на конец года, на 1000 мужчин приходится женщин;Коэффициенты младенческой смертности, число детей, умерших в возрасте до 1 года, на 1000 родившихся живыми;Ожидаемая продолжительность жизни при рождении: Женщины, число лет;Численность вынужденных переселенцев, на конец года, человек;Коэффициенты демографической нагрузки: Всего, оценка на конец года, на 1000 человек трудоспособного возраста приходится лиц нетрудоспособных возрастов;Распределение числа прибывших по направлениям передвижения: В пределах региона, в процентах от общего числа прибывших;Численность лиц, получивших временное убежище, на конец года, человек;Ожидаемая продолжительность жизни при рождении: Мужчины, число лет;Общие коэффициенты смертности, число умерших на 1000 человек населения;Распределение числа выбывших по направлениям передвижения: В другие регионы россии, в процентах от общего числа выбывших;Коэффициенты демографической нагрузки: Моложе трудоспособного возраста, оценка на конец года, на 1000 человек трудоспособного возраста приходится лиц нетрудоспособных возрастов;Коэффициенты демографической нагрузки: Старше трудоспособного возраста, оценка на конец года, на 1000 человек трудоспособного возраста приходится лиц нетрудоспособных возрастов;Среднегодовая численность населения, оценка, тысяч человек;Ожидаемая продолжительность жизни при рождении: Все население, число лет;Распределение числа прибывших по направлениям передвижения: Из-за пределов россии, в процентах от общего числа прибывших;Темпы прироста численности населения, прирост за год, в процентах;Распределение числа прибывших по направлениям передвижения: Из других регионов, в процентах от общего числа прибывших;Суммарный коэффициент рождаемости, число детей на 1 женщину;Распределение числа выбывших по направлениям передвижения: За пределы россии, в процентах от общего числа выбывших;Возрастной состав населения: Население моложе трудоспособного возраста, оценка на конец года, в процентах от общей численности населения;Удельный вес городского населения в общей численности населения, оценка на конец года, в процентах;Распределение числа выбывших по направлениям передвижения: В пределах региона, в процентах от общего числа выбывших;Смертность населения (без показателя смертности от внешних причин), число умерших на 100 000 человек населения;Соотношение браков и разводов, на 1000 браков приходится разводов;Удельный вес сельского населения в общей численности населения, оценка на конец года, в процентах;Жилищные условия населения: Удельный вес расходов домашних хозяйств на оплату жилищно-коммунальных услуг: В процентах от общей суммы потребительских расходов, по данным Выборочного обследования бюджетов домашних хозяйств;Жилищные условия населения: Жилищный фонд: Всего, общая площадь жилых помещений, миллионов квадратных метров;Денежные доходы населения: Структура денежных доходов населения, в процентах от общего объема денежных доходов;Жилищные условия населения: Предоставление гражданам социальной поддержки (льгот) по оплате жилого помещения и коммунальных услуг: Объем средств, предусмотренных на предоставление гражданам социальной поддержки по оплате жилого помещения и коммунальных услуг, миллионов рублей;Денежные доходы населения: Медианный среднедушевой денежный доход населения, в месяц, рублей;Денежные доходы населения: Величина прожиточного минимума пенсионера в целях установления социальной доплаты к пенсии, рублей в месяц;Жилищные условия населения: Предоставление гражданам социальной поддержки (льгот) по оплате жилого помещения и коммунальных услуг: Численность граждан, пользующихся социальной поддержкой по оплате жилого помещения и коммунальных услуг, тысяч человек;Денежные доходы населения: Структура использования денежных доходов населения , в процентах от общего объема денежных доходов;Денежные доходы населения: Среднедушевые денежные доходы населения, в месяц, рублей;Денежные доходы населения: Численность занятых, приходящихся на одного пенсионера, в среднем за год, человек;Жилищные условия населения: Общая площадь жилых помещений, приходящаяся в среднем на одного жителя, на конец года, квадратных метров;Жилищные условия населения: Предоставление гражданам субсидий на оплату жилого помещения и коммунальных услуг: Общая сумма начисленных субсидий на оплату жилого помещения и коммунальных услуг, миллионов рублей;Денежные доходы населения: Численность пенсионеров: Всего, тысяч человек;Жилищные условия населения: Удельный вес расходов домашних хозяйств на оплату жилищно-коммунальных услуг: В процентах от общей суммы расходов на оплату услуг, по итогам выборочного обследования бюджетов домашних хозяйств;Денежные доходы населения: Число собственных легковых автомобилей на 1000 человек населения, на конец года, штук;Потребление продуктов питания: Потребление мяса и мясопродуктов (включая субпродукты ii категории и жир-сырец) на душу населения, в год, килограммов;Жилищные условия населения: Предоставление гражданам жилых помещений: Число семей, получивших жилые помещения и улучшивших жилищные условия за год, тысяч;Денежные доходы населения: Реальные денежные доходы: Реальный размер назначенных пенсий, в процентах к предыдущему году;Денежные доходы населения: Величина прожиточного минимума, установленная в целом по Российской Федерации и в субъектах Российской Федерации, на год, на душу населения, рублей в месяц;Денежные доходы населения: Реальные денежные доходы: Реальные доходы населения, в процентах к предыдущему году;Денежные доходы населения: Среднемесячная начисленная заработная плата муниципальных служащих органов местного самоуправления: Всего, рублей;Жилищные условия населения: Предоставление гражданам жилых помещений: Удельный вес семей, состоявших на учете в качестве нуждающихся в жилых помещениях, в общем числе семей, в процентах;Жилищные условия населения: Предоставление гражданам субсидий на оплату жилого помещения и коммунальных услуг: Среднемесячный размер субсидий на семью, на конец отчетного периода, рублей;Денежные доходы населения: Реальные денежные доходы: Реальная начисленная заработная плата работников организаций, в процентах к предыдущему году;Денежные доходы населения: Среднемесячная начисленная заработная плата муниципальных служащих органов местного самоуправления: В местных администрациях (исполнительно-распорядительных органах муниципальных образований), рублей;Жилищные условия населения: Предоставление гражданам жилых помещений: Число семей, состоявших на учете в качестве нуждающихся в жилых помещениях, на конец года, тысяч;Жилищные условия населения: Жилищный фонд: Городской жилищный фонд, общая площадь жилых помещений, миллионов квадратных метров;Денежные доходы населения: Структура социальных выплат, в процентах;Потребление продуктов питания: Потребление молока и молочных продуктов на душу населения, в год, килограммов;Потребление продуктов питания: Потребление яиц на душу населения, в год, штук;Потребление продуктов питания: Потребление растительного масла на душу населения, в год, килограммов;Денежные доходы населения: Среднемесячная начисленная заработная плата муниципальных служащих органов местного самоуправления: В представительных органах муниципальных образований, рублей;Потребление продуктов питания: Потребление хлебных продуктов на душу населения, в год, килограммов;Денежные доходы населения: Величина прожиточного минимума, установленная в целом по Российской Федерации и в субъектах Российской Федерации в iv квартале 2001-2020 гг., на душу населения, рублей в месяц;Жилищные условия населения: Предоставление гражданам социальной поддержки (льгот) по оплате жилого помещения и коммунальных услуг: Среднемесячный размер социальной поддержки на одного пользователя, рублей;Денежные доходы населения: Средний размер назначенных пенсий, на 1 января, рублей;Денежные доходы населения: Численность населения с денежными доходами ниже границы бедности/величины прожиточного минимума , в процентах от общей численности населения субъекта;Денежные доходы населения: Структура потребительских расходов домашних хозяйств*), по итогам выборочного обследования бюджетов домашних хозяйств, в процентах;Потребление продуктов питания: Потребление сахара на душу населения, в год, килограммов;Жилищные условия населения: Жилищный фонд: Сельский жилищный фонд, общая площадь жилых помещений, миллионов квадратных метров;Жилищные условия населения: Предоставление гражданам субсидий на оплату жилого помещения и коммунальных услуг: Число семей, получавших субсидии на оплату жилого помещения и коммунальных услуг, по состоянию на конец отчетного периода, тысяч;Денежные доходы населения: Среднемесячная номинальная начисленная заработная плата работников организаций, рублей;Жилищные условия населения: Предоставление гражданам жилых помещений: Удельный вес семей, получивших жилые помещения, в числе семей, состоявших на учете в качестве нуждающихся в жилых помещениях, в процентах;Денежные доходы населения: Медианная заработная плата работников организаций, без субъектов малого предпринимательства, по данным выборочных обследований, за апрель, рублей;Денежные доходы населения: Потребительские расходы в среднем на душу населения, в месяц, рублей;Денежные доходы населения: Граница бедности, рублей
Пензенская область;28.7;539.2;-88888888.0;6.7;1246.6;55.5;1194.0;4.3;77.82;-88888888.0;802.0;45.0;998.0;66.27;15.6;42.4;284.0;518.0;1253.9;72.07;16.6;-1.2;38.4;1.186;18.2;15.8;68.8;39.4;-88888888.0;692.2471;31.2;9.7;42.0;3.0;1689.5567;24541.3;10319.0;237.383;-2.7;30111.0;1.34;33.6242;251.9016;422.0;36.2407;336.9003;81.0;0.705;98.8;11692.0;97.4;41838.0;1.735;1002.0;100.2033;40908.0;9.996;28.0;1.3;215.0;229.0;11.0;54156.0;99.0;-99999999.0;593.1191;15569.0;11.5;26.7;36.0;14.0;16.114;41307.2;6.6667;-99999999.0;25816.0;11612.0
Ненецкий автономный округ;18.8;572.4;-88888888.0;11.6;41.4;58.7;1084.0;4.1;76.94;-88888888.0;704.0;45.9;2.0;64.81;10.7;40.1;383.0;321.0;41.4;70.74;14.4;-0.1;39.7;1.837;16.6;22.5;74.5;43.3;915.3;638.8889;25.5;11.5;1.0;0.5;138.3286;71497.5;22140.0;9.591;31.5;104109.0;2.27;28.0497;39.901;14.0;32.9157;229.0071;;0.095;102.2;25419.0;99.4;133063.0;31.3784;3335.0;99.0325;133743.0;5.377;1.0;0.8;;;;135199.0;;-99999999.0;1201.8959;25517.0;9.0;34.8;;0.3;0.616;106949.0;1.7019;-99999999.0;41089.0;25145.0
Ярославская область;27.0;570.9;-88888888.0;7.7;1194.6;55.3;1226.0;3.7;77.01;-88888888.0;809.0;47.4;393.0;65.77;16.2;42.3;320.0;489.0;1200.1;71.55;10.7;-0.9;41.9;1.311;11.6;17.7;81.0;46.1;-88888888.0;632.6295;19.0;11.0;38.0;5.9;2557.5085;30524.1;11253.0;255.866;0.6;38060.0;1.56;31.4481;353.5572;388.0;37.6207;308.0424;81.0;0.541;96.2;13085.0;97.2;43818.0;2.2329;1276.0;100.0908;43679.0;13.092;27.0;1.5;227.0;383.0;14.5;53913.0;95.0;-99999999.0;832.9583;16972.0;8.8;29.2;50.0;10.0;16.555;47388.3;3.8884;-99999999.0;30810.0;12891.0
Краснодарский край;24.6;460.6;-88888888.0;9.2;5819.3;56.4;1122.0;4.0;77.68;5.0;775.0;27.1;6296.0;68.22;13.5;53.4;338.0;437.0;5825.7;72.92;18.1;-0.2;54.8;1.521;17.3;19.0;57.1;29.3;-88888888.0;624.8443;42.9;8.9;176.0;29.7;6704.0953;37188.6;11492.0;1110.815;-2.1;48279.0;1.69;30.2744;774.102;1618.0;32.2944;305.2209;91.0;1.689;98.0;13363.0;101.0;57693.0;2.8435;1339.0;102.0002;56883.0;70.024;110.0;1.5;243.0;345.0;19.2;69236.0;133.0;-99999999.0;502.9412;15694.0;9.0;27.4;52.0;66.0;31.375;50251.9;2.3194;-99999999.0;45331.0;13487.0
Республика Крым;25.9;522.0;1.0;8.6;1916.8;55.4;1158.0;5.5;76.99;-88888888.0;806.0;37.2;4046.0;66.91;14.8;41.2;338.0;468.0;1924.0;71.97;25.0;-0.7;37.8;1.436;23.3;18.7;50.3;35.5;-88888888.0;557.365;49.7;9.4;40.0;14.8;1595.893;24681.1;11612.0;340.221;0.5;28699.0;1.5;20.9998;7.269;559.0;42.9011;223.2293;56.0;0.538;97.6;13501.0;96.2;40112.0;3.8772;541.0;96.0972;39870.0;32.235;19.0;0.7;152.0;237.0;11.6;48180.0;102.0;-99999999.0;390.8962;14912.0;14.5;22.0;38.0;21.0;0.545;41986.1;1.6244;-99999999.0;24649.0;13341.0
Калининградская область;24.2;442.5;-88888888.0;7.9;1032.3;58.1;1115.0;5.4;77.56;1.0;720.0;41.4;209.0;68.53;12.7;33.2;305.0;415.0;1031.7;73.07;20.5;0.1;38.1;1.257;19.0;17.7;76.6;47.8;-88888888.0;584.4424;23.4;8.6;33.0;2.1;1175.579;29129.9;12330.0;156.251;-9.3;34506.0;1.84;32.1669;347.1201;275.0;36.9535;370.2975;95.0;0.446;98.2;14337.0;95.1;66450.0;4.7234;1456.0;99.727;65923.0;21.571;25.0;1.3;238.0;284.0;14.1;80487.0;108.0;-99999999.0;626.9715;16088.0;12.0;23.3;46.0;8.0;15.848;47348.6;2.0419;-99999999.0;30826.0;14600.0
Республика Марий Эл;25.4;561.7;-88888888.0;8.4;672.3;55.1;1149.0;4.7;78.3;-88888888.0;816.0;52.5;18.0;65.72;12.8;37.2;355.0;461.0;674.3;71.9;11.1;-0.6;36.4;1.409;12.9;19.5;68.8;49.9;-88888888.0;745.587;31.2;10.3;20.0;3.6;1428.1421;21497.5;10535.0;184.037;-0.1;25696.0;1.31;29.4038;279.8061;205.0;39.0517;255.8287;99.0;0.599;99.6;12250.0;97.1;42406.0;4.0595;1480.0;100.3719;42542.0;11.802;13.0;1.2;254.0;269.0;13.6;34013.0;126.0;-99999999.0;646.6734;15206.0;16.2;26.4;33.0;7.0;12.119;40712.9;4.8082;-99999999.0;19832.0;11777.0
Республика Коми;23.7;673.5;-88888888.0;8.7;726.5;57.5;1161.0;4.0;75.48;-88888888.0;740.0;50.0;126.0;64.4;14.3;49.7;326.0;414.0;730.4;69.94;11.1;-1.1;38.9;1.544;6.8;18.8;77.7;43.5;-88888888.0;763.2216;22.3;11.4;24.0;0.5;2658.6302;34633.8;14674.0;224.081;11.5;46638.0;1.31;32.6774;658.6193;283.0;36.9035;346.3068;82.0;0.653;99.0;16905.0;95.1;72033.0;4.2239;2697.0;99.948;71986.0;14.355;17.0;3.2;254.0;286.0;10.4;-88888888.0;100.0;-99999999.0;988.7162;21302.0;14.0;30.9;34.0;6.0;16.654;68790.1;4.3528;-99999999.0;32321.0;17272.0
Удмуртская Республика;24.4;547.8;-88888888.0;8.8;1442.2;55.2;1185.0;3.2;78.63;-88888888.0;811.0;62.8;98.0;65.55;12.6;31.1;369.0;442.0;1445.6;72.13;9.3;-0.5;27.9;1.434;8.0;20.4;65.8;60.9;-88888888.0;718.7955;34.2;9.5;37.0;0.5;3825.4312;26231.8;10654.0;365.7;2.4;31941.0;1.54;25.5033;469.62;446.0;35.9284;306.7566;72.0;0.566;98.6;12388.0;97.4;39166.0;2.1783;2004.0;100.1308;39122.0;13.698;23.0;1.5;286.0;299.0;11.0;42780.0;117.0;-99999999.0;871.7143;16738.0;10.2;26.5;32.0;14.0;15.587;45811.4;3.4984;-99999999.0;25642.0;12434.0
Тюменская область;18.6;402.1;-88888888.0;11.3;3851.3;59.1;1110.0;3.5;79.26;1.0;692.0;34.9;940.0;69.59;8.1;46.0;377.0;315.0;3839.5;74.59;23.4;0.6;41.7;1.723;16.3;22.3;81.0;37.7;-88888888.0;663.6667;19.0;9.5;97.0;1.4;9622.4265;43583.8;-99999999.0;731.614;9.3;59348.0;2.2;25.2393;1263.4142;1000.0;35.8904;361.2029;60.0;5.532;101.4;-99999999.0;102.9;126936.0;4.6838;1923.0;103.7594;126908.0;75.376;79.0;1.8;177.0;280.0;11.1;117429.0;119.0;-99999999.0;1096.0272;21754.0;10.7;26.6;37.0;19.0;39.718;94961.9;7.5551;-99999999.0;39193.0;-99999999.0
