;regions;Возрастной состав населения: Население старше трудоспособного возраста, оценка на конец года, в процентах от общей численности населения;Смертность населения в трудоспособном возрасте, число умерших на 100 000 человек соответствующего возраста;Численность беженцев, на конец года, человек;Общие коэффициенты рождаемости, число родившихся на 1000 человек населения;Численность населения, оценка на конец года, тысяч человек;Возрастной состав населения: Население в трудоспособном возрасте, оценка на конец года, в процентах от общей численности населения;Соотношение мужчин и женщин, оценка на конец года, на 1000 мужчин приходится женщин;Коэффициенты младенческой смертности, число детей, умерших в возрасте до 1 года, на 1000 родившихся живыми;Ожидаемая продолжительность жизни при рождении: Женщины, число лет;Численность вынужденных переселенцев, на конец года, человек;Коэффициенты демографической нагрузки: Всего, оценка на конец года, на 1000 человек трудоспособного возраста приходится лиц нетрудоспособных возрастов;Распределение числа прибывших по направлениям передвижения: В пределах региона, в процентах от общего числа прибывших;Численность лиц, получивших временное убежище, на конец года, человек;Ожидаемая продолжительность жизни при рождении: Мужчины, число лет;Общие коэффициенты смертности, число умерших на 1000 человек населения;Распределение числа выбывших по направлениям передвижения: В другие регионы россии, в процентах от общего числа выбывших;Коэффициенты демографической нагрузки: Моложе трудоспособного возраста, оценка на конец года, на 1000 человек трудоспособного возраста приходится лиц нетрудоспособных возрастов;Коэффициенты демографической нагрузки: Старше трудоспособного возраста, оценка на конец года, на 1000 человек трудоспособного возраста приходится лиц нетрудоспособных возрастов;;Среднегодовая численность населения, оценка, тысяч человек;Ожидаемая продолжительность жизни при рождении: Все население, число лет;Распределение числа прибывших по направлениям передвижения: Из-за пределов россии, в процентах от общего числа прибывших;Темпы прироста численности населения, прирост за год, в процентах;Распределение числа прибывших по направлениям передвижения: Из других регионов, в процентах от общего числа прибывших;Суммарный коэффициент рождаемости, число детей на 1 женщину;Распределение числа выбывших по направлениям передвижения: За пределы россии, в процентах от общего числа выбывших;Возрастной состав населения: Население моложе трудоспособного возраста, оценка на конец года, в процентах от общей численности населения;Удельный вес городского населения в общей численности населения, оценка на конец года, в процентах;Распределение числа выбывших по направлениям передвижения: В пределах региона, в процентах от общего числа выбывших;Смертность населения (без показателя смертности от внешних причин), число умерших на 100 000 человек населения;Соотношение браков и разводов, на 1000 браков приходится разводов;Удельный вес сельского населения в общей численности населения, оценка на конец года, в процентах
0;Пензенская область;28.7;539.2;-88888888.0;6.7;1246.6;55.5;1194.0;4.3;77.82;-88888888.0;802.0;45.0;998.0;66.27;15.6;42.4;284.0;518.0;;1253.9;72.07;16.6;-1.2;38.4;1.186;18.2;15.8;68.8;39.4;-88888888.0;692.2471;31.2
1;Ненецкий автономный округ;18.8;572.4;-88888888.0;11.6;41.4;58.7;1084.0;4.1;76.94;-88888888.0;704.0;45.9;2.0;64.81;10.7;40.1;383.0;321.0;;41.4;70.74;14.4;-0.1;39.7;1.837;16.6;22.5;74.5;43.3;915.3;638.8889;25.5
2;Ярославская область;27.0;570.9;-88888888.0;7.7;1194.6;55.3;1226.0;3.7;77.01;-88888888.0;809.0;47.4;393.0;65.77;16.2;42.3;320.0;489.0;;1200.1;71.55;10.7;-0.9;41.9;1.311;11.6;17.7;81.0;46.1;-88888888.0;632.6295;19.0
3;Краснодарский край;24.6;460.6;-88888888.0;9.2;5819.3;56.4;1122.0;4.0;77.68;5.0;775.0;27.1;6296.0;68.22;13.5;53.4;338.0;437.0;;5825.7;72.92;18.1;-0.2;54.8;1.521;17.3;19.0;57.1;29.3;-88888888.0;624.8443;42.9
4;Республика Крым;25.9;522.0;1.0;8.6;1916.8;55.4;1158.0;5.5;76.99;-88888888.0;806.0;37.2;4046.0;66.91;14.8;41.2;338.0;468.0;;1924.0;71.97;25.0;-0.7;37.8;1.436;23.3;18.7;50.3;35.5;-88888888.0;557.365;49.7
5;Калининградская область;24.2;442.5;-88888888.0;7.9;1032.3;58.1;1115.0;5.4;77.56;1.0;720.0;41.4;209.0;68.53;12.7;33.2;305.0;415.0;;1031.7;73.07;20.5;0.1;38.1;1.257;19.0;17.7;76.6;47.8;-88888888.0;584.4424;23.4
6;Республика Марий Эл;25.4;561.7;-88888888.0;8.4;672.3;55.1;1149.0;4.7;78.3;-88888888.0;816.0;52.5;18.0;65.72;12.8;37.2;355.0;461.0;;674.3;71.9;11.1;-0.6;36.4;1.409;12.9;19.5;68.8;49.9;-88888888.0;745.587;31.2
7;Республика Коми;23.7;673.5;-88888888.0;8.7;726.5;57.5;1161.0;4.0;75.48;-88888888.0;740.0;50.0;126.0;64.4;14.3;49.7;326.0;414.0;;730.4;69.94;11.1;-1.1;38.9;1.544;6.8;18.8;77.7;43.5;-88888888.0;763.2216;22.3
8;Удмуртская Республика;24.4;547.8;-88888888.0;8.8;1442.2;55.2;1185.0;3.2;78.63;-88888888.0;811.0;62.8;98.0;65.55;12.6;31.1;369.0;442.0;;1445.6;72.13;9.3;-0.5;27.9;1.434;8.0;20.4;65.8;60.9;-88888888.0;718.7955;34.2
9;Тюменская область;18.6;402.1;-88888888.0;11.3;3851.3;59.1;1110.0;3.5;79.26;1.0;692.0;34.9;940.0;69.59;8.1;46.0;377.0;315.0;;3839.5;74.59;23.4;0.6;41.7;1.723;16.3;22.3;81.0;37.7;-88888888.0;663.6667;19.0
10;Псковская область;28.7;721.0;1.0;7.3;587.8;54.9;1206.0;5.7;74.95;-88888888.0;823.0;43.1;305.0;63.07;18.3;45.0;300.0;523.0;;592.3;68.95;16.2;-1.6;40.7;1.332;16.5;16.4;70.9;38.5;-88888888.0;637.9051;29.1
11;Республика Карелия;28.0;745.3;-88888888.0;8.2;527.9;54.8;1230.0;5.1;74.97;-88888888.0;823.0;52.2;113.0;63.1;18.2;39.3;313.0;510.0;;530.1;69.03;9.0;-0.9;38.8;1.505;6.0;17.2;79.7;54.7;-88888888.0;585.0156;20.3
12;Республика Хакасия;22.6;571.8;-88888888.0;9.4;530.2;55.6;1118.0;5.2;75.76;-88888888.0;800.0;47.5;13.0;65.2;13.3;47.4;392.0;408.0;;531.6;70.57;6.4;-0.5;46.1;1.541;6.6;21.8;68.7;46.0;-88888888.0;705.2484;31.3
13;Владимирская область;28.3;616.7;3.0;6.6;1325.5;55.5;1203.0;4.2;76.61;-88888888.0;800.0;37.4;649.0;64.95;16.8;49.6;292.0;508.0;;1333.9;70.8;20.2;-1.3;42.4;1.156;16.4;16.2;77.6;34.0;-88888888.0;659.296;22.4
